X;Y;Z
9.31323E-10;1.86265E-09;700
9.31323E-10;2000;700
2000;2000;700
2000;1.86265E-09;700
1675.054647;194.6778818;700
1301.991401;135.1465127;700
1067.834683;59.74011193;700
686.8339206;135.1465127;700
222.4892419;281.9905564;700
95.48898787;532.0223065;700
91.52022994;770.1477827;700
59.77016644;1119.398481;700
131.2078093;1555.961854;700
361.3957697;1798.056089;700
762.2403214;1921.087585;700
1159.116115;1921.087585;700
1516.30433;1929.025101;700
1929.055155;1790.118573;700
1956.836461;1313.86762;700
1901.273849;1024.148291;700
2000;532.0223065;700
2000;285.9593144;700
1472.647992;516.1472747;700
1047.990893;416.9283263;700
571.7399404;492.3347271;700
1147.209841;670.9288343;700
1643.304584;702.6788978;700
1341.67898;988.4294693;700
754.3028055;964.6169217;700
476.4897499;920.9605844;700
266.1455792;1210.679914;700
551.8961507;1361.492715;700
976.55325;1667.087077;700
1587.741972;1579.774402;700
1631.39831;1202.742398;700
1218.647484;1234.492461;700
1047.990893;952.7106479;700
849.552996;1432.930358;700
386.7958205;1975.856444;700
821.9039824;616.6891425;700
397.1145911;25.07962594;700
1810.257001;428.4377243;700
1843.329984;34.86922886;700
1327.391452;1612.450509;700
543.561759;1635.601597;700
1528.938209;188.0743096;700
1346.375344;315.0745636;700
790.7492326;239.6681628;700
838.3743278;442.0748176;700
473.2485976;303.1682898;700
501.0299031;100.7616349;700
171.6229943;84.8866032;700
68.43528793;326.9808374;700
445.467292;521.4499763;700
346.2483436;731.794147;700
298.6232483;509.5437025;700
211.3105737;898.4819804;700
469.2798396;1077.076088;700
143.8416887;1342.982869;700
461.3423237;1497.764429;700
40.65398237;1878.765191;700
588.3425777;719.8878732;700
703.4365579;465.8873652;700
683.5927682;311.1058056;700
1116.187383;231.7306469;700
874.0931492;57.10529763;700
1255.093911;92.82411907;700
961.4058239;271.4182263;700
1270.968943;453.9810914;700
1636.094673;374.6059326;700
1366.219134;57.10529763;700
1640.063431;104.7303929;700
1921.845245;152.3554881;700
1794.844991;303.1682898;700
1905.970213;382.5434485;700
1477.344356;307.1370477;700
1366.219134;696.0753256;700
997.1246453;557.1687978;700
941.5620342;759.5754526;700
786.7804746;811.1693058;700
866.1556334;1124.701183;700
679.6240103;1243.763921;700
635.967673;1116.763667;700
997.1246453;1291.389016;700
1294.781491;874.6694328;700
1576.563304;854.8256431;700
1882.157665;795.294274;700
1842.470086;600.8251351;700
1505.125661;1065.169814;700
1818.657538;1136.607457;700
1735.313622;1422.358028;700
1481.313114;1374.732933;700
1088.406078;1473.951881;700
755.0304111;1739.858663;700
1445.594292;1743.827421;700
1878.188907;1600.952135;700
1743.251138;1942.265318;700
1195.562542;882.6069486;700
1322.562796;1458.07685;700
290.6857324;1640.639715;700
1675.782253;537.3250081;700
