X;Y;Z
9.31323E-10;1.86265E-09;700
2000;1.86265E-09;700
2000;2000;700
9.31323E-10;2000;700
183.3969762;1939.707674;700
647.7416549;1951.613948;700
1076.367512;2000;700
1620.08735;1927.8014;700
1945.5255;1773.019841;700
2000;1407.89411;700
1937.587985;1011.018317;700
2000;661.7676181;700
1925.681711;435.5484156;700
1917.744195;237.1105188;700
1715.33754;78.36020125;700
1104.148818;1.86265E-09;700
818.3982462;46.61013775;700
377.8661151;66.45392744;700
119.8968492;372.0482886;700
92.11554363;1058.643412;700
80.20926981;1419.800384;700
147.6781548;1753.176051;700
409.6161786;1892.082579;700
953.3360161;1880.176305;700
1413.711937;1915.895126;700
1806.618973;1753.176051;700
1937.587985;1475.362995;700
2000;1185.643666;700
2000;792.73663;700
1822.494004;344.2669831;700
1858.212826;66.45392744;700
1560.555981;118.0477806;700
592.1790438;74.39144332;700
179.4282183;1.86265E-09;700
131.803123;181.5479076;700
48.45920631;891.9555784;700
155.6156706;1201.518698;700
64.33423806;1566.644428;700
294.5221984;1725.394745;700
294.5221984;201.3916973;700
981.1173216;46.61013775;700
1885.994131;1900.020095;700
1945.5255;1638.082071;700
